"YEAR","VA Yield bu/acre","US Yield bu/acre","Year"
2000,38.5,38.1,2000
2001,35.5,39.6,2001
2002,23,38,2002
2003,34,33.9,2003
2004,39,42.2,2004
2005,30.5,43.1,2005
2006,31,42.9,2006
2007,27.5,41.7,2007
2008,32,39.7,2008
2009,37,44,2009
2010,26,43.5,2010
2011,40,42,2011
2012,42,40,2012
2013,38.5,44,2013
2014,39.5,47.5,2014
2015,34.5,48,2015
2016,36,51.9,2016
2017,44,49.3,2017
2018,42,50.6,2018
2019,34,47.4,2019
2020,42,51,2020
2021,46,51.7,2021
2022,41,49.6,2022
2023,38,50.6,2023
2024,44,50.7,2024
